('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.9715484619140625, 0.36185483579282407]
('192.168.137.1', 64572)#pos#blue#[0.9710480372111002, 0.36193118625217013]
('192.168.137.1', 64572)#pos#blue#[0.9710847854614257, 0.3614234924316406]
('192.168.137.1', 64572)#pos#blue#[0.9708298365275065, 0.36207190619574653]
('192.168.137.1', 64572)#pos#blue#[0.9708489100138347, 0.36285400390625]
('192.168.137.1', 64572)#pos#blue#[0.9716106414794922, 0.3615770410608362]
('192.168.137.1', 64572)#pos#blue#[0.9714083353678385, 0.36178721675166375]
('192.168.137.1', 64572)#pos#blue#[0.9709272384643555, 0.36204460991753473]
('192.168.137.1', 64572)#pos#blue#[0.9713416417439779, 0.3620621575249566]
('192.168.137.1', 64572)#pos#blue#[0.9714157740275066, 0.361542397958261]
('192.168.137.1', 64572)#pos#blue#[0.9708508173624675, 0.362038336859809]
('192.168.137.1', 64572)#pos#blue#[0.9710723241170247, 0.3620142618815104]
('192.168.137.1', 64572)#pos#blue#[0.9709815979003906, 0.36165251555266203]
('192.168.137.1', 64572)#pos#blue#[0.9710948308308919, 0.3614873532895689]
('192.168.137.1', 64572)#pos#blue#[0.9715940475463867, 0.3616742734555845]
('192.168.137.1', 64572)#pos#blue#[0.9708882013956706, 0.36213065253363713]
('192.168.137.1', 64572)#pos#blue#[0.971294657389323, 0.362113528781467]
('192.168.137.1', 64572)#pos#blue#[0.9713353474934896, 0.3616528546368634]
('192.168.137.1', 64572)#pos#blue#[0.9710744222005209, 0.36220841584382235]
('192.168.137.1', 64572)#pos#blue#[0.9709193547566731, 0.3621668497721354]
('192.168.137.1', 64572)#pos#blue#[0.9714625676472982, 0.36192499796549477]
('192.168.137.1', 64572)#pos#blue#[0.9717101414998373, 0.36184545446325234]
('192.168.137.1', 64572)#pos#blue#[0.970902951558431, 0.36172247992621526]
('192.168.137.1', 64572)#pos#blue#[0.9715784708658854, 0.36166342276114005]
('192.168.137.1', 64572)#pos#blue#[0.9713857650756836, 0.36174929583514176]
('192.168.137.1', 64572)#pos#blue#[0.9712629318237305, 0.36164090191876447]
('192.168.137.1', 64572)#pos#blue#[0.9710374196370443, 0.361842120135272]
('192.168.137.1', 64572)#pos#blue#[0.971050516764323, 0.36184313738787616]
('192.168.137.1', 64572)#pos#blue#[0.9709680557250977, 0.36222062287507234]
('192.168.137.1', 64572)#pos#blue#[0.9714378356933594, 0.36173061794704864]
('192.168.137.1', 64572)#pos#blue#[0.9712381362915039, 0.36171349419487847]
('192.168.137.1', 64572)#pos#blue#[0.9711223602294922, 0.36169100160951967]
('192.168.137.1', 64572)#pos#blue#[0.9711406707763672, 0.3618093419958044]
('192.168.137.1', 64572)#pos#blue#[0.9707963307698567, 0.36213446723090276]
('192.168.137.1', 64572)#pos#blue#[0.9710552215576171, 0.3621811760796441]
('192.168.137.1', 64572)#pos#blue#[0.971392822265625, 0.3616819593641493]
('192.168.137.1', 64572)#pos#blue#[0.9702756881713868, 0.3629916720920139]
('192.168.137.1', 64572)#pos#blue#[0.9710966746012369, 0.36208360460069444]
('192.168.137.1', 64572)#pos#blue#[0.9708417892456055, 0.3624164722583912]
('192.168.137.1', 64572)#pos#blue#[0.9706364313761393, 0.36307062219690395]
('192.168.137.1', 64572)#pos#blue#[0.9713380813598633, 0.36172202781394674]
('192.168.137.1', 64572)#pos#blue#[0.9714486440022786, 0.3614776611328125]
('192.168.137.1', 64572)#pos#blue#[0.9707892735799154, 0.36165183738425927]
('192.168.137.1', 64572)#pos#blue#[0.971159299214681, 0.36153993959780095]
('192.168.137.1', 64572)#pos#blue#[0.9712227503458659, 0.3616661071777344]
('192.168.137.1', 64572)#pos#blue#[0.9706152598063151, 0.3618440416124132]
